Дата;Эксперт;ID компании;Компания;ID площадки;Площадка;Чек-лист;Блок;№;Метрика;Описание;Выбранный вариант;Балл;Макс. балл;Примечание;Исключен
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;ЦИМ;Обеспеченность ОКС для работ с ТИМ;1.1;Наличие рабочей группы;На ОКС присутствует специалист по ТИМ;2 — сформирована рабочая группа ТИМ;2;2;;0
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;ЦИМ;Обеспеченность ОКС для работ с ТИМ;1.2;Обеспеченность рабочих мест;Установлено необходимое ПО;1 — установлено частично;1;2;;0
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;ЦИМ;Обеспеченность ОКС для работ с ТИМ;1.3;Наличие и доступность ЦИМ;ЦИМ получена и доступна для работы;2 — организована СОД;2;2;;0
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;ЦИМ;Обеспеченность ОКС для работ с ТИМ;1.4;Актуальность ЦИМ;Дата последнего обновления ЦИМ;0 — дата выпуска документации опережает модель менее чем на 14 дней;0;2;;0
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;ЦИМ;Обеспеченность ОКС для работ с ТИМ;1.5;Форматы ЦИМ;Передана в проприетарных форматах (RVT, NWC, NWD), открытом формате IFC;2 — переданы все требуемые форматы;2;2;;0
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;ЦИМ;Качество ТИМ;2.1;Моделирование разделов ЦИМ;В наличии ЦИМ по всем требуемым разделам в рамках проекта;2 — ЦИМ включает все разделы, в том числе сети;2;2;;0
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;ЦИМ;Качество ТИМ;2.2;Сводная ЦИМ;Сводная ЦИМ очищена от элементов, не отражающих проектные решения;2 — не содержит элементов, не отражающих проектные решения;2;2;;0
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;ЦИМ;Качество ТИМ;2.3;Координаты;Модели всех разделов скоординированы и имеют общую систему координат;2 — скоординированы и не требуют дополнительных действий;2;2;;0
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;ЦИМ;Качество ТИМ;2.4;Наличие ПИМ;ПИМ актуален и доступен участникам;2 — ПИМ доступен и актуален;2;2;;0
06.08.2026 13:38;Хворенков П.Ю.;c2;ПАО «ПИК СЗ»;Станция 1;Станция 1;ЦИМ;Качество ТИМ;2.5;Подход к формированию ЦИМ Прямой / Обратный;Документация сформирована в модели и выпускается по мере развития модели / модель сформирована на базе выпущенной документации;1 — Обратный;1;2;;0
